address,1,set
"518 Bourbon St, New Orleans, LA 70130, USA","(29.9573513, -90.0667105)",cameras
"530 Bourbon St, New Orleans, LA 70130, USA","(29.956947, -90.067058)",cameras
"601 Bourbon St, New Orleans, LA 70130, USA","(29.9579575, -90.06639969999999)",cameras
"610 Bourbon St, New Orleans, LA 70130, USA","(29.957934, -90.0660822)",cameras
"417 Bourbon St, New Orleans, LA 70130, USA","(29.9567235, -90.0675942)",cameras
"401 Bourbon St, New Orleans, LA 70130, USA","(29.9564055, -90.06778229999999)",cameras
"501 Dauphine St, New Orleans, LA 70112, USA","(29.9577523, -90.0680162)",cameras
"800 St Peter, New Orleans, LA 70116, USA","(29.9586337, -90.0657959)",cameras
"20 Bourbon St, New Orleans, LA 70130, USA","(29.9558071, -90.06824069999999)",cameras
"20 Bourbon St, New Orleans, LA 70130, USA","(29.9558071, -90.06824069999999)",cameras
"700-722 Bourbon St, New Orleans, LA 70116, USA","(29.95903879999999, -90.0652159)",cameras
"241 Bourbon St, New Orleans, LA 70112, USA","(29.9554728, -90.068463)",cameras
"222 Bourbon St, New Orleans, LA 70130, USA","(29.9550873, -90.0687403)",cameras
"741 Bourbon St, New Orleans, LA 70116, USA","(29.9594554, -90.0649732)",cameras
"807 Bourbon St, New Orleans, LA 70116, USA","(29.9597076, -90.0648507)",cameras
"201 Bourbon St, New Orleans, LA 70130, USA","(29.9548227, -90.0691769)",cameras
"300 Bienville St, New Orleans, LA 70130, USA","(29.9536032, -90.0655584)",cameras
"722 Iberville St, New Orleans, LA 70130, USA","(29.954306, -90.0689359)",cameras
"141 Chartres St, New Orleans, LA 70130, USA","(29.9535016, -90.06746559999999)",cameras
"901 Iberville St, New Orleans, LA 70112, USA","(29.9554151, -90.0700619)",cameras
"841 Bourbon St, New Orleans, LA 70116, USA","(29.9602681, -90.06435239999999)",cameras
"7 N Rampart St, New Orleans, LA 70117, USA","(29.95886479999999, -90.07021209999999)",cameras
"116 Bourbon St, New Orleans, LA 70130, USA","(29.9542355, -90.0694797)",cameras
"106a Royal St, New Orleans, LA 70130, USA","(29.9534682, -90.0687291)",cameras
"41 Bourbon St, New Orleans, LA 70130, USA","(29.9538794, -90.0698915)",cameras
"57a St Charles Ave, New Orleans, LA 70130, USA","(29.9530569, -90.0693563)",cameras
"Canal + Carondelet, New Orleans, LA 70112, USA","(29.953592, -90.07011899999999)",cameras
"N. Rampart at St Ann, New Orleans, LA 70116, USA","(29.9613605, -90.06764650000001)",cameras
"1008 Bourbon St, New Orleans, LA 70116, USA","(29.9611037, -90.06348709999999)",cameras
"1208 Bienville St, New Orleans, LA 70112, USA","(29.95803979999999, -90.07244449999999)",cameras
"138 Carondelet St, New Orleans, LA 70130, USA","(29.952861, -90.0705069)",cameras
"Basin at Treme, New Orleans, LA 70112, USA","(29.961305, -90.070701)",cameras
"Canal @ Elk Place, New Orleans, LA 70112, USA","(29.956139, -90.073683)",cameras
"1125 St Philip St, New Orleans, LA 70116, USA","(29.9634874, -90.0667083)",cameras
"103 Canal St, New Orleans, LA 70130, USA","(29.9501581, -90.0642247)",cameras
"162 S Rampart St, New Orleans, LA 70112, USA","(29.954202, -90.073697)",cameras
"1500 Lafitte Ave, New Orleans, LA 70112, USA","(29.9621694, -90.0720854)",cameras
"303 Loyola Ave, New Orleans, LA 70112, USA","(29.9535349, -90.07551169999999)",cameras
"1331 Decatur St, New Orleans, LA 70116, USA","(29.9619987, -90.0582002)",cameras
"507 Convention Center Blvd, New Orleans, LA 70130, USA","(29.9480878, -90.06487969999999)",cameras
"507 Convention Center Blvd, New Orleans, LA 70130, USA","(29.9480878, -90.06487969999999)",cameras
"620 N Claiborne Ave, New Orleans, LA 70116, USA","(29.9629618, -90.0740046)",cameras
"Esplanade + N. Rampart, New Orleans, LA 70116, USA","(29.965925, -90.063802)",cameras
"Camp + Lafayette, New Orleans, LA 70130, USA","(29.948061, -90.06967399999999)",cameras
"500 Frenchmen St, New Orleans, LA 70116, USA","(29.9625489, -90.0578077)",cameras
"601 St Charles Ave, New Orleans, LA 70130, USA","(29.9482641, -90.0713007)",cameras
"1440 Bourbon St, New Orleans, LA 70116, USA","(29.964762, -90.060279)",cameras
"1700 Lafitte Ave, New Orleans, LA 70112, USA","(29.9633733, -90.0742111)",cameras
"1554 St Philip St, New Orleans, LA 70116, USA","(29.9656877, -90.070296)",cameras
"Basin + Claiborne, New Orleans, LA 70116, USA","(29.964439, -90.07308499999999)",cameras
"1661 Canal St #1001, New Orleans, LA 70112, USA","(29.9590649, -90.0773263)",cameras
"601 Frenchmen St, New Orleans, LA 70116, USA","(29.9636056, -90.0576806)",cameras
"1801 Lafitte Ave, New Orleans, LA 70112, USA","(29.96412639999999, -90.0750675)",cameras
"1801 Conti St, New Orleans, LA 70112, USA","(29.9625171, -90.0764597)",cameras
"2110 Royal St, New Orleans, LA 70116, USA","(29.9643858, -90.0574549)",cameras
"N. Claiborne + Ursulines, New Orleans, LA 70116, USA","(29.967506, -90.07065200000001)",cameras
"1817 Lafitte Ave, New Orleans, LA 70112, USA","(29.9645085, -90.0757288)",cameras
"XW8V+23 New Orleans, LA, USA","(29.9650463, -90.0573184)",cameras
"239 Morgan St, New Orleans, LA 70114, USA","(29.954044, -90.0537119)",cameras
"2105 Dauphine St, New Orleans, LA 70116, USA","(29.9656951, -90.0576708)",cameras
"1901 St Ann St, New Orleans, LA 70116, USA","(29.9661844, -90.07457629999999)",cameras
"762 St Charles Ave, New Orleans, LA 70130, USA","(29.9460177, -90.0715237)",cameras
"1940 N Rampart St, New Orleans, LA 70116, USA","(29.9672198, -90.0593138)",cameras
"2000 Lafitte Ave, New Orleans, LA 70112, USA","(29.9650283, -90.07698040000001)",cameras
"448 Mandeville St, New Orleans, LA 70117, USA","(29.9626252, -90.05400399999999)",cameras
"3042 Esplanade Ave, New Orleans, LA 70119, USA","(29.9694054, -90.06818009999999)",cameras
"1442 N Robertson St, New Orleans, LA 70116, USA","(29.9696413, -90.0667742)",cameras
"2100 St Louis St, New Orleans, LA 70112, USA","(29.964642, -90.0787752)",cameras
"1340 St Bernard Ave, New Orleans, LA 70116, USA","(29.9700664, -90.0641979)",cameras
"N. Galvez + St Louis, New Orleans, LA 70112, USA","(29.965139, -90.07931800000001)",cameras
"1467 N Claiborne Ave, New Orleans, LA 70116, USA","(29.9708717, -90.0677157)",cameras
"N. Galvez + Lafitte, New Orleans, LA 70119, USA","(29.965607, -90.079388)",cameras
"2205 Orleans Ave, New Orleans, LA 70119, USA","(29.9676202, -90.0776205)",cameras
"Howard Ave. at Carondelet, New Orleans, LA 70130, USA","(29.94402639999999, -90.07352499999999)",cameras
"2 Lee Cir, New Orleans, LA 70130, USA","(29.94337939999999, -90.07189179999999)",cameras
"6 N Prieur St, New Orleans, LA 70112, USA","(29.9707987, -90.0719373)",cameras
"1382 Annette St, New Orleans, LA 70116, USA","(29.9711272, -90.063037)",cameras
"1614 Laharpe St, New Orleans, LA 70116, USA","(29.972075, -90.0670559)",cameras
"1905 N Villere St, New Orleans, LA 70116, USA","(29.9714528, -90.06053299999999)",cameras
"1242 LA-46, New Orleans, LA 70117, USA","(29.9704737, -90.05729559999999)",cameras
"Verret + Opelousas, New Orleans, LA 70114, USA","(29.948673, -90.05062)",cameras
"Teche @ Homer, New Orleans, LA 70114, USA","(29.946557, -90.052163)",cameras
"2400 St Louis St, New Orleans, LA 70119, USA","(29.9664938, -90.0812983)",cameras
"1504 St Bernard Ave, New Orleans, LA 70116, USA","(29.9729932, -90.0659324)",cameras
"2339 Bienville St, New Orleans, LA 70119, USA","(29.9650453, -90.0822913)",cameras
"1900 Columbus St, New Orleans, LA 70116, USA","(29.9728655, -90.0699362)",cameras
"2486 N Rampart St, New Orleans, LA 70117, USA","(29.9677544, -90.052172)",cameras
"2401 Dumaine St, New Orleans, LA 70119, USA","(29.9699677, -90.07821539999999)",cameras
"1130 St Charles Ave, New Orleans, LA 70130, USA","(29.9414966, -90.0734629)",cameras
"15 Press St, New Orleans, LA 70117, USA","(29.9633521, -90.0487634)",cameras
"Simon Bolivar + Clio, New Orleans, LA 70113, USA","(29.944541, -90.079697)",cameras
"424 N Rocheblave St, New Orleans, LA 70119, USA","(29.9667365, -90.08220659999999)",cameras
"1901 N Claiborne Ave, New Orleans, LA 70116, USA","(29.9735647, -90.06075279999999)",cameras
"1739 St Bernard Ave, New Orleans, LA 70116, USA","(29.974894, -90.06660450000001)",cameras
"2029 N Claiborne Ave, New Orleans, LA 70116, USA","(29.9735946, -90.0586987)",cameras
"2436 Ursulines Ave, New Orleans, LA 70119, USA","(29.97182059999999, -90.0776271)",cameras
"1404 Carondelet St, New Orleans, LA 70130, USA","(29.9406216, -90.0759458)",cameras
"2600 St Louis St, New Orleans, LA 70119, USA","(29.967753, -90.0833959)",cameras
"N. Claiborne at Elysian Fields, New Orleans, LA, USA","(29.9733405, -90.057181)",cameras
"2549 Dumaine St, New Orleans, LA 70119, USA","(29.97119339999999, -90.0800762)",cameras
"1504 Baronne St, New Orleans, LA 70113, USA","(29.9402296, -90.07785489999999)",cameras
"33 Martin Luther King Jr Blvd, New Orleans, LA 70130, USA","(29.9392668, -90.07560529999999)",cameras
"1131 N Dorgenois St, New Orleans, LA 70119, USA","(29.97368299999999, -90.0782649)",cameras
"506 US-90, New Orleans, LA 70119, USA","(29.9688177, -90.0840113)",cameras
"N. Broad + Orleans, New Orleans, LA 70119, USA","(29.970536, -90.082809)",cameras
"1039 Belleville St, New Orleans, LA 70114, USA","(29.9446011, -90.04866129999999)",cameras
"501 N Broad St, New Orleans, LA 70119, USA","(29.9691041, -90.08464300000001)",cameras
"M L King + LaSalle, New Orleans, LA 70113, USA","(29.943511, -90.083705)",cameras
"3017 Clio St, New Orleans, LA 70125, USA","(29.949365, -90.0878589)",cameras
"2279 N Derbigny St, New Orleans, LA 70117, USA","(29.9748417, -90.0549788)",cameras
"S. Broad + Banks, New Orleans, LA 70119, USA","(29.96267, -90.08966199999999)",cameras
"2514 Bayou Rd, New Orleans, LA 70119, USA","(29.9763164, -90.07656890000001)",cameras
"1037 N Broad St, New Orleans, LA 70119, USA","(29.9739325, -90.0805953)",cameras
"2136B Palmyra St, New Orleans, LA 70119, USA","(29.9643187, -90.0897976)",cameras
"1808 S Liberty St, New Orleans, LA 70113, USA","(29.9412749, -90.08359879999999)",cameras
"1901 Magnolia St, New Orleans, LA 70113, USA","(29.943822, -90.08689539999999)",cameras
"3000 Martin Luther King Jr Blvd, New Orleans, LA 70125, USA","(29.9463915, -90.08868819999999)",cameras
"Nunez + Lawrence, New Orleans, LA 70114, USA","(29.939218, -90.050687)",cameras
"417 N Dupre St, New Orleans, LA 70119, USA","(29.9700651, -90.0872129)",cameras
"2839 Josephine St, New Orleans, LA 70113, USA","(29.9447908, -90.0882068)",cameras
"1803 St Roch Ave, New Orleans, LA 70117, USA","(29.9760666, -90.05206500000001)",cameras
"2000 Mandeville St, New Orleans, LA 70117, USA","(29.9778707, -90.0552403)",cameras
"3200 St Claude Ave, New Orleans, LA 70117, USA","(29.9669553, -90.04238889999999)",cameras
"2927 N Gayoso St, New Orleans, LA 70119, USA","(29.970409, -90.0879501)",cameras
"2302 A P Tureaud Ave, New Orleans, LA 70119, USA","(29.98022449999999, -90.0676747)",cameras
"Newton at Thayer, New Orleans, LA 70114, USA","(29.94525, -90.043134)",cameras
"3000 Bienville St, New Orleans, LA 70119, USA","(29.9692591, -90.0893061)",cameras
"2900 Ursulines Ave, New Orleans, LA 70119, USA","(29.9753483, -90.0827652)",cameras
"15 Marigny St, New Orleans, LA 70122, USA","(29.9787644, -90.0562674)",cameras
"2555 N Derbigny St, New Orleans, LA 70117, USA","(29.9752356, -90.0491085)",cameras
"Opelousas at Whitney, New Orleans, LA 70114, USA","(29.94829499999999, -90.04064749999999)",cameras
"412 N Salcedo St, New Orleans, LA 70119, USA","(29.97097249999999, -90.0886956)",cameras
"1982 N Rocheblave St, New Orleans, LA 70119, USA","(29.9810941, -90.06503049999999)",cameras
"2064 N Rocheblave St, New Orleans, LA 70119, USA","(29.98135319999999, -90.0627353)",cameras
"1543 Gentilly Blvd, New Orleans, LA 70119, USA","(29.9797728, -90.07788780000001)",cameras
"400 N Lopez St, New Orleans, LA 70119, USA","(29.9712804, -90.0893871)",cameras
"Newton + Whitney, New Orleans, LA 70114, USA","(29.945084, -90.041039)",cameras
"2323 Willow St, New Orleans, LA 70113, USA","(29.943554, -90.09053879999999)",cameras
"2355 S Derbigny St, New Orleans, LA 70125, USA","(29.9454258, -90.0919567)",cameras
"2434 Allen St, New Orleans, LA 70119, USA","(29.9822329, -90.0650959)",cameras
"Franklin at N. Prieur, New Orleans, LA 70117, USA","(29.9771495, -90.04831899999999)",cameras
"1842 Almonaster Ave, New Orleans, LA 70117, USA","(29.9771164, -90.0480097)",cameras
"Jackson at St Charles, New Orleans, LA 70130, USA","(29.9340115, -90.08055949999999)",cameras
"LePage Place, Esplanade Ave &, Lepage St, New Orleans, LA 70119, USA","(29.9789571, -90.08239789999999)",cameras
"403 S Lopez St, New Orleans, LA 70119, USA","(29.9659013, -90.0945961)",cameras
"1900 Magazine St, New Orleans, LA 70130, USA","(29.9314571, -90.0738739)",cameras
"2500 Second St, New Orleans, LA 70113, USA","(29.9398483, -90.0892045)",cameras
"3231 Second St, New Orleans, LA 70125, USA","(29.9463166, -90.0937519)",cameras
"1049 Independence St, New Orleans, LA 70117, USA","(29.9660308, -90.0379586)",cameras
"Chartres + Mazant, New Orleans, LA 70117, USA","(29.960338, -90.03584099999999)",cameras
"St Bernard at Broad, New Orleans, LA 70119, USA","(29.9834475, -90.0718155)",cameras
"500 N Norman C Francis Parkway, New Orleans, LA 70119, USA","(29.9727042, -90.0910868)",cameras
"401 N Norman C Francis Parkway, New Orleans, LA 70119, USA","(29.9729796, -90.092017)",cameras
"1684 Chippewa St, New Orleans, LA 70130, USA","(29.9297868, -90.07005989999999)",cameras
"St Claude + Alvar, New Orleans, LA 70117, USA","(29.965761, -90.036464)",cameras
"3120 Canal St, New Orleans, LA 70119, USA","(29.9701691, -90.0943451)",cameras
"1834 Second St, New Orleans, LA 70113, USA","(29.934743, -90.0854396)",cameras
"1529 L B Landry Ave, New Orleans, LA 70114, USA","(29.9392052, -90.04166959999999)",cameras
"1957 Newton St, New Orleans, LA 70114, USA","(29.9448427, -90.0369205)",cameras
"3534 Toulouse St, New Orleans, LA 70119, USA","(29.9749109, -90.09228329999999)",cameras
"2202 Fourth St, New Orleans, LA 70113, USA","(29.9363407, -90.0890544)",cameras
"2712 S Johnson St, New Orleans, LA 70125, USA","(29.9459388, -90.09639080000001)",cameras
"1311 Mystery St, New Orleans, LA 70119, USA","(29.9802364, -90.0850985)",cameras
"Washington at LaSalle, New Orleans, LA, USA","(29.937573, -90.0909085)",cameras
"2451 Law St, New Orleans, LA 70117, USA","(29.9841379, -90.05435519999999)",cameras
"1840 St Thomas St, New Orleans, LA 70130, USA","(29.927878, -90.0697223)",cameras
"3610 Toulouse St, New Orleans, LA 70119, USA","(29.9751951, -90.0930034)",cameras
"4300 N Rampart St, New Orleans, LA 70117, USA","(29.9636767, -90.0328812)",cameras
"3035 Toledano St, New Orleans, LA 70125, USA","(29.94359, -90.0967222)",cameras
"Esplanade + Verna, New Orleans, LA 70119, USA","(29.98132799999999, -90.086106)",cameras
"1825 Gentilly Blvd, New Orleans, LA 70119, USA","(29.9857103, -90.07666739999999)",cameras
"755 S Norman C Francis Parkway, New Orleans, LA 70119, USA","(29.9631476, -90.0999995)",cameras
"S. Claiborne + Toledano, New Orleans, LA 70115, USA","(29.94122, -90.096349)",cameras
"3100 Eden St, New Orleans, LA 70125, USA","(29.9514533, -90.1012125)",cameras
"2101 Paris Rd, New Orleans, LA 70129, USA","(29.9343378, -90.0902101)",cameras
"500 N Cortez St, New Orleans, LA 70119, USA","(29.9755558, -90.0941721)",cameras
"St Charles at Washington, New Orleans, LA, USA","(29.93094159999999, -90.0859959)",cameras
"3966 Louisiana Ave Pkwy, New Orleans, LA 70125, USA","(29.9502342, -90.10132469999999)",cameras
"St Claude + Poland, New Orleans, LA 70117, USA","(29.964683, -90.03168699999999)",cameras
"2222 N Broad St, New Orleans, LA 70119, USA","(29.9881468, -90.06720539999999)",cameras
"1836 Sixth St, New Orleans, LA 70115, USA","(29.9325195, -90.0893143)",cameras
"1340 France St, New Orleans, LA 70117, USA","(29.9681662, -90.0328627)",cameras
"4340 Washington Ave, New Orleans, LA 70125, USA","(29.953866, -90.10283299999999)",cameras
"Jackson at St Thomas, New Orleans, LA 70130, USA","(29.9256015, -90.07331150000002)",cameras
"1423 Washington Ave, New Orleans, LA 70130, USA","(29.9291797, -90.0844322)",cameras
"420 N Scott St, New Orleans, LA 70119, USA","(29.9760846, -90.0956657)",cameras
"Desire at N. Galvez, New Orleans, LA 70117, USA","(29.97705849999999, -90.037447)",cameras
"N. Broad + Treasure, New Orleans, LA 70122, USA","(29.989271, -90.06620099999999)",cameras
"Elysian Fields + Abundance, New Orleans, LA 70122, USA","(29.988905, -90.058646)",cameras
"601 S Cortez St, New Orleans, LA 70119, USA","(29.968176, -90.1016088)",cameras
"St Bernard + Desaix, New Orleans, LA 70119, USA","(29.988763, -90.075054)",cameras
"2743 Amelia St, New Orleans, LA 70115, USA","(29.93876209999999, -90.097843)",cameras
"Paris Ave. + Gentilly, New Orleans, LA 70119, USA","(29.98947, -90.07315299999999)",cameras
"3116 Paris Ave, New Orleans, LA 70119, USA","(29.9898094, -90.0732642)",cameras
"1401 S Norman C Francis Parkway, New Orleans, LA 70125, USA","(29.956389, -90.1047906)",cameras
"1199 S Norman C Francis Parkway, New Orleans, LA 70125, USA","(29.9578706, -90.1048373)",cameras
"S. Claiborne + General Taylor, New Orleans, LA 70115, USA","(29.940266, -90.099994)",cameras
"Whitney @ General De Gaulle, New Orleans, LA 70114, USA","(29.930767, -90.04188099999999)",cameras
"406 N Carrollton Ave, New Orleans, LA 70119, USA","(29.977263, -90.0972929)",cameras
"173 Orleans Ave, New Orleans, LA 70119, USA","(29.9794117, -90.0958038)",cameras
"3848 Napoleon Ave, New Orleans, LA 70125, USA","(29.9488618, -90.1047293)",cameras
"3808 Trafalgar St, New Orleans, LA 70119, USA","(29.9876445, -90.0831271)",cameras
"N. Carrollton at St Louis, New Orleans, LA 70119, USA","(29.977685, -90.097482)",cameras
"3400 New Orleans St, New Orleans, LA 70122, USA","(29.9914256, -90.06698670000002)",cameras
"1600 Lauradale Dr, New Orleans, LA 70114, USA","(29.9382956, -90.03252549999999)",cameras
"1740 Farragut St, New Orleans, LA 70114, USA","(29.936457, -90.034013)",cameras
"621 S Pierce St, New Orleans, LA 70119, USA","(29.9691232, -90.10379689999999)",cameras
"4704 S Carrollton Ave, New Orleans, LA 70119, USA","(29.97364009999999, -90.1009227)",cameras
"2601 Chippewa St, New Orleans, LA 70130, USA","(29.9237356, -90.07846099999999)",cameras
"127 N Carrollton Ave, New Orleans, LA 70119, USA","(29.9753396, -90.100285)",cameras
"3601 S Saratoga St, New Orleans, LA 70115, USA","(29.9322968, -90.0956101)",cameras
"745 Washington Ave, New Orleans, LA 70130, USA","(29.9236712, -90.0803754)",cameras
"Louisiana at St Charles, New Orleans, LA 70115, USA","(29.9282351, -90.09146419999999)",cameras
"502 N Solomon St, New Orleans, LA 70119, USA","(29.9788265, -90.0991205)",cameras
"4037 Octavia St, New Orleans, LA 70125, USA","(29.9525086, -90.1075951)",cameras
